Claude_Code ,Claude_Url,Claude_Markdown ,File Size
100,95,100,1686
100,100,100,6901
100,100,100,4859
100,100,100,2845
100,100,100,8764
100,100,100,3438
100,100,100,2605
100,100,95,1964
44.73684211,88,100,8114
100,100,100,1234
100,57,88,7744
100,100,100,2284
100,58,72,10035
50,100,100,5362
100,72,82,9209
100,100,100,1486
100,64,95,6759
100,100,98,3596
100,100,100,4258
100,87,100,7020
100,100,100,1454
100,100,100,3983
100,99,100,3268
100,97,100,4716
100,66,100,4387
100,97,100,9832
100,99,100,4109
100,100,100,726
100,100,100,6860
100,100,100,3347
100,98,100,3918
100,100,100,3683
100,100,100,1702
100,100,100,5939
100,100,100,5318
100,94,99,11191
100,60,71,6833
100,100,100,2565
100,100,100,3138
100,99,98,9409
50,98,100,7496
100,81,100,8759
100,94,100,10723
100,100,100,4937
100,100,100,2770
100,100,100,2987
100,99,100,2842
100,100,100,1428
100,99,100,7874
30.55555556,82,96,9116
