repo,pr_number,maint_gap,maintenance_health,primary_commits,translation_commits,time_gap_days,files_detected
freeCodeCamp/freeCodeCamp,39388,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,37230,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,37013,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,36993,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,36772,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,36282,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,35140,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,34746,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,34622,,no_readme_files,0,0,,0
freeCodeCamp/freeCodeCamp,33965,,no_readme_files,0,0,,0
freeCodeCamp/freeCodeCamp,30411,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,30406,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,29835,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,29733,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,28944,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,27851,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,26585,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,26476,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,25705,,no_readme_files,0,0,,0
freeCodeCamp/freeCodeCamp,24809,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,23097,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,21848,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,21827,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,21004,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,20981,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,20760,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,20132,,not_merged,0,0,,0
freeCodeCamp/freeCodeCamp,19008,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,18324,0.0,inactive,0,0,,1
freeCodeCamp/freeCodeCamp,18323,,no_readme_files,0,0,,0
EbookFoundation/free-programming-books,9130,0.0,inactive,0,0,,1
