repo,merged,closed,adoption_rate
996icu/996.ICU,1,1,0.5
AFNetworking/AFNetworking,0,1,0.0
AUTOMATIC1111/stable-diffusion-webui,0,1,0.0
Chalarangelo/30-seconds-of-code,0,1,0.0
CyC2018/CS-Notes,1,0,1.0
DefinitelyTyped/DefinitelyTyped,8,2,0.8
Ebazhanov/linkedin-skill-assessments-quizzes,5,0,1.0
EbookFoundation/free-programming-books,1,0,1.0
FlowiseAI/Flowise,2,0,1.0
FortAwesome/Font-Awesome,0,1,0.0
Genymobile/scrcpy,1,13,0.07142857142857142
RocketChat/Rocket.Chat,0,1,0.0
Snailclimb/JavaGuide,1,0,1.0
TheAlgorithms/Java,2,1,0.6666666666666666
airbnb/javascript,0,4,0.0
android/architecture-samples,0,1,0.0
ant-design/ant-design,2,2,0.5
anuraghazra/github-readme-stats,7,9,0.4375
bitcoin/bitcoin,2,0,1.0
deepseek-ai/DeepSeek-V3,0,2,0.0
donnemartin/system-design-primer,0,4,0.0
electron/electron,10,2,0.8333333333333334
facebook/react,0,2,0.0
facebook/react-native,0,1,0.0
firstcontributions/first-contributions,40,20,0.6666666666666666
flutter/flutter,0,2,0.0
freeCodeCamp/freeCodeCamp,17,13,0.5666666666666667
github/docs,1,0,1.0
github/gitignore,1,0,1.0
github/opensource.guide,0,1,0.0
goldbergyoni/nodebestpractices,5,2,0.7142857142857143
h5bp/Front-end-Developer-Interview-Questions,2,0,1.0
home-assistant/core,0,1,0.0
huggingface/transformers,10,10,0.5
iluwatar/java-design-patterns,22,2,0.9166666666666666
ionic-team/ionic-framework,0,1,0.0
jackfrued/Python-100-Days,0,2,0.0
jekyll/jekyll,1,0,1.0
jlevy/the-art-of-command-line,1,1,0.5
justjavac/free-programming-books-zh_CN,0,1,0.0
jwasham/coding-interview-university,8,2,0.8
kamranahmedse/developer-roadmap,0,2,0.0
krahets/hello-algo,2,0,1.0
kubernetes/kubernetes,2,0,1.0
labuladong/fucking-algorithm,1,1,0.5
langgenius/dify,1,1,0.5
microsoft/ML-For-Beginners,36,3,0.9230769230769231
microsoft/Web-Dev-For-Beginners,40,18,0.6896551724137931
microsoft/generative-ai-for-beginners,4,5,0.4444444444444444
microsoft/vscode,0,2,0.0
mozilla/pdf.js,2,0,1.0
mui/material-ui,2,1,0.6666666666666666
netty/netty,0,1,0.0
octocat/Spoon-Knife,0,5,0.0
ollama/ollama,0,2,0.0
othneildrew/Best-README-Template,0,2,0.0
pallets/flask,0,1,0.0
pandas-dev/pandas,0,1,0.0
protocolbuffers/protobuf,0,1,0.0
public-apis/public-apis,0,1,0.0
qmk/qmk_firmware,2,1,0.6666666666666666
rails/rails,0,1,0.0
remix-run/react-router,0,1,0.0
rustdesk/rustdesk,10,1,0.9090909090909091
scikit-learn/scikit-learn,0,1,0.0
tensorflow/tensorflow,0,2,0.0
trekhleb/javascript-algorithms,8,5,0.6153846153846154
ultralytics/yolov5,2,0,1.0
xtekky/gpt4free,2,0,1.0
