repo,pr_number,maint_gap,primary_commits,translation_commits
jwasham/coding-interview-university,295,10,10,0
jwasham/coding-interview-university,85,44,44,0
996icu/996.ICU,24755,166,166,0
CyC2018/CS-Notes,718,1,1,0
iluwatar/java-design-patterns,3107,16,16,0
microsoft/generative-ai-for-beginners,691,5,5,0
microsoft/generative-ai-for-beginners,640,27,27,0
microsoft/generative-ai-for-beginners,392,1,1,0
microsoft/generative-ai-for-beginners,100,2,2,0
firstcontributions/first-contributions,85688,2,2,0
Ebazhanov/linkedin-skill-assessments-quizzes,7084,5,5,0
Ebazhanov/linkedin-skill-assessments-quizzes,7078,9,9,0
Ebazhanov/linkedin-skill-assessments-quizzes,7060,11,11,0
Ebazhanov/linkedin-skill-assessments-quizzes,7043,19,19,0
Ebazhanov/linkedin-skill-assessments-quizzes,7040,23,23,0
trekhleb/javascript-algorithms,1202,-33,3,36
jlevy/the-art-of-command-line,137,105,116,11
microsoft/ML-For-Beginners,323,-25,1,26
jwasham/coding-interview-university,1445,3,8,5
microsoft/Web-Dev-For-Beginners,510,-2,4,6
freeCodeCamp/freeCodeCamp,37230,0,0,0
freeCodeCamp/freeCodeCamp,37013,0,0,0
freeCodeCamp/freeCodeCamp,36993,0,0,0
freeCodeCamp/freeCodeCamp,36772,0,0,0
freeCodeCamp/freeCodeCamp,36282,0,0,0
freeCodeCamp/freeCodeCamp,35140,0,0,0
freeCodeCamp/freeCodeCamp,34746,0,0,0
freeCodeCamp/freeCodeCamp,24809,0,0,0
freeCodeCamp/freeCodeCamp,21848,0,0,0
freeCodeCamp/freeCodeCamp,21004,0,0,0
freeCodeCamp/freeCodeCamp,20760,0,0,0
freeCodeCamp/freeCodeCamp,19008,0,0,0
freeCodeCamp/freeCodeCamp,18324,0,0,0
EbookFoundation/free-programming-books,9130,0,0,0
jwasham/coding-interview-university,1455,0,0,0
jwasham/coding-interview-university,319,0,0,0
trekhleb/javascript-algorithms,703,0,0,0
trekhleb/javascript-algorithms,613,0,0,0
trekhleb/javascript-algorithms,503,0,0,0
trekhleb/javascript-algorithms,386,0,0,0
trekhleb/javascript-algorithms,318,0,0,0
trekhleb/javascript-algorithms,317,0,0,0
trekhleb/javascript-algorithms,148,0,0,0
Snailclimb/JavaGuide,1480,0,0,0
huggingface/transformers,29229,0,0,0
huggingface/transformers,29054,0,0,0
