repo,pr_number,maint_gap
microsoft/Mastering-GitHub-Copilot-for-Paired-Programming,11,
Tribler/tribler,1926,0.0
dromara/carbon,259,1.0
jamiehannaford/what-happens-when-k8s,44,1.0
asciidoctor/asciidoctor,4305,0.0
asciidoctor/asciidoctor,2719,0.0
asciidoctor/asciidoctor,1787,0.0
asciidoctor/asciidoctor,1772,
googleanalytics/autotrack,26,
googleapis/google-cloud-python,9536,0.0
googleapis/google-cloud-python,6426,0.0
GaiaNet-AI/gaianet-node,117,2.0
GaiaNet-AI/gaianet-node,113,2.0
GaiaNet-AI/gaianet-node,103,1.0
GaiaNet-AI/gaianet-node,89,1.0
GaiaNet-AI/gaianet-node,58,1.0
mentebinaria/retoolkit,49,3.0
mentebinaria/retoolkit,38,2.0
mentebinaria/retoolkit,37,2.0
sz3/libcimbar,107,0.0
catfan/Medoo,776,
LiteOS/LiteOS,781,
LiteOS/LiteOS,780,
LiteOS/LiteOS,776,
