Index,Folder_Name,Full_Path,Creation_Date,Modified_Date
1,30seconds,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/30seconds,2025-06-18 19:36:33,2025-06-18 19:36:33
2,996ICU,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/996ICU,2025-06-18 19:36:37,2025-06-18 19:36:37
3,CSnotes,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/CSnotes,2025-06-18 19:38:07,2025-06-18 19:38:07
4,Microsoft-Activation-Scripts,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/Microsoft-Activation-Scripts,2025-06-18 19:42:11,2025-06-18 19:42:11
5,TheAlgorithms,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/TheAlgorithms,2025-06-18 19:47:25,2025-06-18 19:47:25
6,angular,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/angular,2025-06-18 19:36:50,2025-06-18 19:36:50
7,animate,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/animate,2025-06-18 19:37:09,2025-06-18 19:37:09
8,autoGPT,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/autoGPT,2025-06-18 19:37:15,2025-06-18 19:37:15
9,bitcoin,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/bitcoin,2025-06-18 19:37:20,2025-06-18 19:37:20
10,chart,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/chart,2025-06-18 19:37:30,2025-06-18 19:37:30
11,core,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/core,2025-06-18 19:37:35,2025-06-18 19:37:35
12,d3,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/d3,2025-06-18 19:38:19,2025-06-18 19:38:19
13,developer_roadmap,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/developer_roadmap,2025-06-18 19:38:24,2025-06-18 19:38:24
14,django,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/django,2025-06-18 19:38:31,2025-06-18 19:38:31
15,elastic_search,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/elastic_search,2025-06-18 19:38:46,2025-06-18 19:38:46
16,electron,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/electron,2025-06-18 19:38:51,2025-06-18 19:38:51
17,express,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/express,2025-06-18 19:38:59,2025-06-18 19:38:59
18,flask,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/flask,2025-06-18 19:39:08,2025-06-18 19:39:08
19,flutter,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/flutter,2025-06-18 19:39:24,2025-06-18 19:39:24
20,fontawesome,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/fontawesome,2025-06-18 19:39:40,2025-06-18 19:39:40
21,getify,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/getify,2025-06-18 19:40:17,2025-06-18 19:40:17
22,gitignore,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/gitignore,2025-06-18 19:40:28,2025-06-18 19:40:28
23,go,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/go,2025-06-18 19:40:40,2025-06-18 19:40:40
24,godot,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/godot,2025-06-18 19:40:45,2025-06-18 19:40:45
25,grafana,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/grafana,2025-06-18 19:40:55,2025-06-18 19:40:55
26,hello-algo,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/hello-algo,2025-06-18 19:41:08,2025-06-18 19:41:08
27,kubernetes,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/kubernetes,2025-06-18 19:41:13,2025-06-18 19:41:13
28,langchain,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/langchain,2025-06-18 19:41:42,2025-06-18 19:41:42
29,laravel,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/laravel,2025-06-18 19:41:47,2025-06-18 19:41:47
30,linux,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/linux,2025-06-18 19:41:54,2025-06-18 19:41:54
31,microsoft_vscode,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/microsoft_vscode,2025-06-18 19:42:03,2025-06-18 19:42:03
32,moby,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/moby,2025-06-18 19:42:41,2025-06-18 19:42:41
33,next.js,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/next.js,2025-06-18 19:42:58,2025-06-18 19:42:58
34,opencv,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/opencv,2025-06-18 19:43:03,2025-06-18 19:43:03
35,protobuf,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/protobuf,2025-06-18 19:43:18,2025-06-18 19:43:18
36,react,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/react,2025-06-18 19:43:29,2025-06-18 19:43:29
37,react-app,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/react-app,2025-06-18 19:44:30,2025-06-18 19:44:30
38,react-native,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/react-native,2025-06-18 19:44:35,2025-06-18 19:44:35
39,reveal,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/reveal,2025-06-18 19:44:49,2025-06-18 19:44:49
40,rust,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/rust,2025-06-18 19:44:54,2025-06-18 19:44:54
41,rustdesk,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/rustdesk,2025-06-18 19:46:33,2025-06-18 19:46:33
42,scrcpy,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/scrcpy,2025-06-18 19:46:38,2025-06-18 19:46:38
43,spring-boot,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/spring-boot,2025-06-18 19:46:48,2025-06-18 19:46:48
44,swift,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/swift,2025-06-18 19:46:57,2025-06-18 19:46:57
45,tensorflow,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/tensorflow,2025-06-18 19:47:15,2025-06-18 19:47:15
46,three,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/three,2025-06-18 19:47:30,2025-06-18 19:47:30
47,typescript,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/typescript,2025-06-18 19:47:42,2025-06-18 19:47:42
48,v2rayN,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/v2rayN,2025-06-18 19:47:53,2025-06-18 19:47:53
49,vue,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/vue,2025-06-18 19:47:58,2025-06-18 19:47:58
50,vue_element,/Users/elijahadejumo/LLM_translation_ASE/translation_repos/vue_element,2025-06-18 19:48:11,2025-06-18 19:48:11
