Index,Folder_Name
1,30seconds
2,996ICU
3,CSnotes
4,Microsoft-Activation-Scripts
5,TheAlgorithms
6,angular
7,animate
8,autoGPT
9,bitcoin
10,chart
11,core
12,d3
13,developer_roadmap
14,django
15,elastic_search
16,electron
17,express
18,flask
19,flutter
20,fontawesome
21,getify
22,gitignore
23,go
24,godot
25,grafana
26,hello-algo
27,kubernetes
28,langchain
29,laravel
30,linux
31,microsoft_vscode
32,moby
33,next.js
34,opencv
35,protobuf
36,react
37,react-app
38,react-native
39,reveal
40,rust
41,rustdesk
42,scrcpy
43,spring-boot
44,swift
45,tensorflow
46,three
47,typescript
48,v2rayN
49,vue
50,vue_element
